,player,nation_stats_standard,squad,position_stats_standard,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,playing_time_min_stats_playing_time,total_cmp%_stats_passing,ast_stats_passing,ppa_stats_passing,standard_gls_stats_shooting,standard_sot%_stats_shooting,sca_sca_stats_gca,gca_gca_stats_gca,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,take_ons_succ_stats_possession,carries_prgc_stats_possession,receiving_prgr_stats_possession,tackles_mid_3rd_stats_defense,aerial_duels_won%_stats_misc,performance_crs_stats_misc,tackles_tkl_stats_defense,int_stats_defense,performance_recov_stats_misc,value
118,Abraham Odoh,ENG,P'borough Utd,Midfielder,24,2000,4.5,990.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,275000.0
119,Funso Ojo,BEL,Shrewsbury,Midfielder,33,1991,8.8,1027.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,150000.0
120,Michael Olakigbe,ENG,Wigan Athletic,Midfielder,20,2004,2.9,556.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,600000.0
121,Isaac Olaofe,ENG,Stockport,Forward,24,1999,3.8,664.0,0.0,0.0,0.0,1.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,450000.0
122,Fred Onyedinma,ENG,Wycombe,Midfielder,27,1996,2.4,951.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,500000.0
124,Jasper Pattenden,ENG,Wycombe,Forward,22,2002,0.9,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0
125,Taylor Perry,ENG,Shrewsbury,Midfielder,23,2001,2.9,930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,400000.0
126,Daniel Phillips,TRI,Stevenage,Midfielder,23,2001,9.1,488.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,225000.0
127,Kwame Poku,GHA,P'borough Utd,Midfielder,23,2001,12.5,899.0,0.0,0.0,0.0,7.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,1500000.0
128,Darren Pratley,JAM,Leyton Orient,Midfielder,39,1985,1.6,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0
129,Aaron Pressley,SCO,Stevenage,Forward,23,2001,0.6,789.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175000.0
130,Stephen Quinn,IRL,Mansfield Town,Midfielder,38,1986,6.6,402.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,50000.0
131,Bojan Radulovic,SRB,Huddersfield,Forward,24,1999,4.2,406.0,0.0,0.0,0.0,1.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1000000.0
133,Joel Randall,ENG,P'borough Utd,Midfielder,24,1999,7.9,1080.0,0.0,0.0,0.0,4.0,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,600000.0
134,Amani Richards,ENG,Exeter City,Forward,19,2004,2.0,990.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
135,Jordan Roberts,ENG,Stevenage,Midfielder,30,1994,10.4,775.0,0.0,0.0,0.0,1.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,300000.0
136,Jordan Rossiter,ENG,Shrewsbury,Midfielder,27,1997,5.4,630.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,150000.0
137,Kieran Sadlier,IRL,Wycombe,Midfielder,30,1994,4.7,751.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,225000.0
138,Charles Sagoe Jr,ENG,Shrewsbury,Midfielder,20,2004,3.9,821.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,600000.0
139,Charlie Savage,WAL,Reading,Midfielder,21,2003,6.1,444.0,0.0,0.0,0.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,600000.0
140,Szabolcs Schön,HUN,Bolton,Midfielder,24,2000,10.2,1126.0,0.0,0.0,0.0,1.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,900000.0
142,Jordan Shipley,IRL,Shrewsbury,Midfielder,27,1997,5.9,990.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,400000.0
143,Tola Showunmi,ENG,Crawley Town,Forward,24,2000,0.4,990.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,175000.0
144,Tyreece Simpson,ENG,Stevenage,Forward,22,2002,4.6,742.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,250000.0
145,Jonny Smith,ENG,Wigan Athletic,Forward,27,1997,1.0,840.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,225000.0
146,Korey Smith,ENG,Cambridge Utd,Midfielder,33,1991,10.6,700.0,0.0,0.0,0.0,1.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,250000.0
147,Sam Smith,ENG,Reading,Forward,26,1998,10.0,810.0,0.0,0.0,0.0,4.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,600000.0
148,Scott Smith,WAL,Wigan Athletic,Midfielder,23,2001,3.4,987.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,200000.0
149,Ruel Sotiriou,CYP,Bristol Rovers,Forward,24,2000,7.7,587.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,500000.0
150,Jay Stansfield,ENG,Birmingham City,Forward,21,2002,4.7,933.0,0.0,0.0,0.0,4.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3500000.0
151,Ronnie Stutter,ENG,Burton Albion,Forward,19,2005,0.2,483.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200000.0
152,Terry Taylor,SCO,Charlton Ath,Midfielder,23,2001,1.7,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,225000.0
153,Luke Thomas,ENG,Bristol Rovers,Midfielder,25,1999,7.2,979.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,500000.0
154,Ben Thompson,ENG,Stevenage,Midfielder,29,1995,0.0,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275000.0
155,Daniel Udoh,NGA,Wycombe,Forward,28,1996,6.3,990.0,0.0,0.0,0.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,300000.0
156,Danny Ward,ENG,Huddersfield,Forward,32,1991,2.4,956.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,300000.0
157,Grant Ward,ENG,Bristol Rovers,Midfielder,29,1994,6.3,805.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,250000.0
158,Jayden Wareham,ENG,Reading,Forward,21,2003,1.3,904.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
159,Tennai Watson,ENG,Charlton Ath,Midfielder,27,1997,1.4,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,250000.0
160,Caleb Watts,AUS,Exeter City,Midfielder,22,2002,0.4,566.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200000.0
161,David Wheeler,ENG,Wycombe,Midfielder,34,1990,0.6,427.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
162,Harvey White,ENG,Stevenage,Midfielder,23,2001,7.1,1080.0,0.0,0.0,0.0,1.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,300000.0
163,Jay Williams,SKN,Crawley Town,Midfielder,24,2000,10.4,602.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175000.0
164,James Wilson,ENG,Northampton,Forward,28,1995,0.3,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0
165,James Wilson,ENG,Northampton,Forward,28,1995,0.3,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0
166,Lewis Wing,ENG,Reading,Midfielder,29,1995,11.0,779.0,0.0,0.0,0.0,2.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,650000.0
167,Kyle Wootton,ENG,Stockport,Forward,28,1996,8.8,565.0,0.0,0.0,0.0,4.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,300000.0
168,Scott Wright,SCO,Birmingham City,Forward,27,1997,2.0,551.0,0.0,0.0,0.0,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1200000.0
169,Vimal Yoganathan,SRI,Barnsley,Midfielder,18,2006,1.2,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Ayumu Yokoyama,JPN,Birmingham City,Forward,21,2003,1.2,718.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,600000.0
171,Jake Young,ENG,Stevenage,Forward,23,2001,3.5,767.0,0.0,0.0,0.0,1.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,300000.0
172,George Abbott,ENG,Notts County,Midfielder,19,2005,7.5,679.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
173,Emile Acquah,ENG,Barrow,Forward,24,2000,5.4,482.0,0.0,0.0,0.0,2.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,325000.0
174,Cameron Antwi,ENG,Newport County,Midfielder,23,2001,7.7,714.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,50000.0
175,Luke Armstrong,ENG,Carlisle United,Forward,28,1996,6.9,692.0,0.0,0.0,0.0,2.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,275000.0
176,Jude Arthurs,ENG,Bromley,Midfielder,23,2001,5.4,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
177,Zico Asare,ENG,Harrogate,Midfielder,23,2001,4.0,904.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
178,Ossama Ashley,ENG,Salford City,Midfielder,23,2000,7.7,487.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,100000.0
179,Owen Bailey,ENG,Doncaster,Midfielder,25,1999,12.9,600.0,0.0,0.0,0.0,1.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,300000.0
180,Courtney Baker-Richardson,ENG,Newport County,Forward,28,1995,9.0,1162.0,0.0,0.0,0.0,3.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,250000.0
181,Ollie Banks,ENG,Chesterfield,Midfielder,32,1992,8.6,808.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0
182,Luca Barrington,ENG,Grimsby Town,Midfielder,19,2004,8.0,528.0,0.0,0.0,0.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,150000.0
184,Jay Benn,ENG,Bradford City,Midfielder,23,2001,3.5,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,75000.0
186,Teddy Bishop,ENG,Colchester Utd,Midfielder,28,1996,5.8,914.0,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,250000.0
187,Omar Bogle,ENG,Crewe Alexandra,Forward,31,1993,0.9,798.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,225000.0
188,Zak Bradshaw,ENG,Tranmere Rovers,Midfielder,21,2003,4.7,435.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,50000.0
189,Kian Breckin,ENG,Crewe Alexandra,Midfielder,20,2003,3.3,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,100000.0
191,Ryan Broom,WAL,Fleetwood Town,Forward,28,1996,2.3,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,300000.0
192,Charlie Brown,ENG,Morecambe,Forward,25,1999,0.4,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0
193,Jevani Brown,JAM,Notts County,Forward,30,1994,1.6,419.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0
194,Warren Burrell,ENG,Harrogate,Midfielder,34,1990,4.5,777.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,75000.0
195,Daniel Butterworth,ENG,Carlisle United,Forward,25,1999,0.5,442.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,200000.0
196,Jake Cain,ENG,Swindon Town,Midfielder,23,2001,2.3,797.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,175000.0
197,Taylor Charters,ENG,Carlisle United,Forward,23,2001,1.3,731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,100000.0
198,Adam Chicksen,ZIM,Notts County,Midfielder,33,1991,1.4,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,75000.0
199,Jayden Clarke,ENG,Gillingham,Midfielder,23,2001,9.7,697.0,0.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,150000.0
200,Ollie Clarke,ENG,Swindon Town,Midfielder,32,1992,5.0,637.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,150000.0
201,Harry Clifton,WAL,Doncaster,Midfielder,26,1998,9.2,941.0,0.0,0.0,0.0,2.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,250000.0
202,Ryan Colclough,ENG,Chesterfield,Midfielder,29,1994,3.5,448.0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
203,Joel Colwill,WAL,Cheltenham,Midfielder,19,2004,9.5,514.0,0.0,0.0,0.0,2.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
204,Cameron Congreve,WAL,Bromley,Midfielder,20,2004,5.1,1141.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,350000.0
205,Max Conway,ENG,Crewe Alexandra,Midfielder,21,2003,9.3,452.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
206,Ryan Cooney,ENG,Crewe Alexandra,Midfielder,24,2000,9.2,828.0,0.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,250000.0
207,Joel Cotterill,WAL,Swindon Town,Midfielder,20,2004,10.0,507.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,75000.0
208,Ronan Coughlan,IRL,Fleetwood Town,Forward,29,1995,7.2,856.0,0.0,0.0,0.0,4.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,100000.0
209,George Cox,ENG,Swindon Town,Midfielder,26,1998,6.9,456.0,0.0,0.0,0.0,1.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,650000.0
210,Liam Coyle,ENG,Acc'ton Stanley,Midfielder,24,1999,2.5,711.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0
211,Ryan Croasdale,ENG,Port Vale,Midfielder,30,1994,9.2,840.0,0.0,0.0,0.0,2.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,275000.0
212,Robbie Cundy,ENG,Notts County,Midfielder,27,1997,1.5,831.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
213,Ronan Curtis,IRL,Port Vale,Midfielder,28,1996,6.6,857.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,200000.0
214,Bradley Dack,ENG,Gillingham,Forward,30,1993,0.2,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
215,Marcus Dackers,WAL,Salford City,Midfielder,21,2003,0.7,902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0
216,Marcus Dackers,WAL,Morecambe,Forward,21,2003,7.2,648.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,50000.0
217,Matty Daly,ENG,Harrogate,Midfielder,23,2001,6.8,450.0,0.0,0.0,0.0,1.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,300000.0
219,Jordan Davies,WAL,Grimsby Town,Midfielder,26,1998,1.5,1063.0,0.0,0.0,0.0,2.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,150000.0
220,Josh Davison,ENG,Tranmere Rovers,Forward,25,1999,4.9,597.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,225000.0
221,Kristian Dennis,ENG,Tranmere Rovers,Forward,34,1990,2.8,1073.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,100000.0
223,Timothée Dieng,FRA,Gillingham,Midfielder,32,1992,3.3,919.0,0.0,0.0,0.0,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,125000.0
224,Armando Dobra,ALB,Chesterfield,Midfielder,23,2001,10.8,443.0,0.0,0.0,0.0,2.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
225,Stephen Dooley,NIR,Harrogate,Midfielder,33,1991,9.2,910.0,0.0,0.0,0.0,1.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100000.0
226,Gwion Edwards,WAL,Morecambe,Midfielder,31,1993,4.0,969.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,225000.0
227,Sonny Finch,ENG,MK Dons,Forward,19,2005,1.6,556.0,0.0,0.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Sam Foley,IRL,Barrow,Midfielder,38,1986,6.5,1049.0,0.0,0.0,0.0,1.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,50000.0
230,Cameron Gardner,0,Grimsby Town,Midfielder,0,0,3.1,990.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
231,Jordan Gibson,ENG,Doncaster,Midfielder,26,1998,9.8,491.0,0.0,0.0,0.0,3.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,300000.0
232,Alex Gilbey,ENG,MK Dons,Midfielder,29,1994,12.8,743.0,0.0,0.0,0.0,4.0,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,300000.0
233,John-Kymani Gordon,ENG,Colchester Utd,Midfielder,21,2003,6.2,990.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,200000.0
234,Kellan Gordon,ENG,Notts County,Midfielder,26,1997,4.5,707.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,125000.0
235,Liam Gordon,GUY,Walsall,Midfielder,25,1999,10.5,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,250000.0
236,Conor Grant,IRL,Notts County,Midfielder,23,2001,6.0,899.0,0.0,0.0,0.0,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,175000.0
237,Conor Grant,IRL,Notts County,Midfielder,23,2001,6.0,899.0,0.0,0.0,0.0,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,225000.0
238,Conor Grant,ENG,Port Vale,Midfielder,29,1995,0.8,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,175000.0
239,Conor Grant,ENG,Port Vale,Midfielder,29,1995,0.8,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,225000.0
